address,protocol,propertyid,ecosystem,balanceavailable,balancereserved,balanceaccepted,lasttxdbserialnum
1Gz4NTCBJb7q5gEURNeGnEivEt2yDY93yK,Omni,1,Production,10097524802,0,0,
1JME1dvN2zAAgXhXPnWSWFGQ4Z1iHALFj9,Omni,1,Production,33209164021,0,0,
12y5do1mEWJcrawDq3p66Zd9NSUdWUAqYF,Omni,1,Production,500348793,0,0,
134qMRPNjXbwnq73KBDyEzH3BWqgDSK8f4,Omni,1,Production,29375370365,0,0,
13aJiZTQYMYSkfT9E366jdKbZgPTtzA2kw,Omni,1,Production,13055739087,0,0,
13dFPB1ag1WsJKBWoUp6yUiKYDKvUGFEdz,Omni,1,Production,35844283234,0,0,
13kMuArrYxHpxiVtqUgtYK6viv6JvaBRt4,Omni,1,Production,10075623347,0,0,
13reFpj413XUoU3aHNbkPepd11Ha6Hi212,Omni,1,Production,10063083664,0,0,
144PHZQoDNfhGwUFtAKayDyJSVQm1YkyHm,Omni,1,Production,20007218915,0,0,
14AqQW1tKzfRnMAgKxTdDedYJ3KoUVC9ei,Omni,1,Production,10046583995,0,0,
14KxxiYghzaMiu6Ygcp1q8H4JGWViXLjua,Omni,1,Production,1435843585,0,0,
14MUti4hZhpnqeqswfHxLWFbYQ1GqezJEY,Omni,1,Production,9094522295,0,0,
14PVGnM5F8HfbiphzcSFSAgAcecUywadZQ,Omni,1,Production,1012004299,0,0,
14REHKxxXicArkZuvfA7DkXeoqgWXZ2pzo,Omni,1,Production,10019444444,0,0,
15H4EyX75muU78MQTHgNj9S75RbGVtZjJW,Omni,1,Production,28566481481,0,0,
15KDDJeiiZqSAy8ff2waWgagP82zUrj37c,Omni,1,Production,3009574405,0,0,
15KPAgwFaRQYxqCV95r6qTHCZgtr9HJVtZ,Omni,1,Production,6331183862,0,0,
15PmgreEf44t2sLwUohspit2DNdmf8nioa,Omni,1,Production,50134334,0,0,
15bPHecc5crhXxLnWy11ED8epfGqeBeS5t,Omni,1,Production,218259954,0,0,
15sv8nv5MweHeXnHPbiCaNNf8FDtsG3JdW,Omni,1,Production,23672801150,0,0,
16DQ4vNFBij4zZ3CURpgX1CCmxSw8yrZdr,Omni,1,Production,2124172288,0,0,
16P9gkfoX54maGbX6x7EHz1qnY4n8d7rYh,Omni,1,Production,3103611111,0,0,
16Y1wE9WEGSySsUNMoKBicQV369C6E1fV,Omni,1,Production,30625927579,0,0,
16akrvw2R2kREZtYET91bUyoPnyhQyur3E,Omni,1,Production,20498392082,0,0,
16kPgvUbpsYfxj9mvpCQqsoZ4c2oJsNfH,Omni,1,Production,10068911438,0,0,
16qiCQ4ocbM4zRceN8RYwWqBRQoiGCvcNa,Omni,1,Production,10052809193,0,0,
16uce8E7DuqC5QNmsjMLcbZEmLcUBRGqaj,Omni,1,Production,1512488839,0,0,
17XgPMQXbXr2RmPKKB5FJ3a2UFMw2Gxarh,Omni,1,Production,16306044147,0,0,
17aRFk7cMSTuwpkmLk3Znzfeys2XKLVgML,Omni,1,Production,20105555556,0,0,
17crSnfzrevwmqQo7QavEFr4QcaYujbosE,Omni,1,Production,32783859127,0,0,
17czXHWXFLVUdgiQSc9FJDT6Fi7ooXj6Uf,Omni,1,Production,35270050808,0,0,
17dTm9LYvNzNT4AM1kum557L539YXS5y7S,Omni,1,Production,16420711963,0,0,
17dkzPoFrkw5V2sDsBqSbbbvygaPzWsz68,Omni,1,Production,50052794,0,0,
17ezCD79i6qmzPPBtD8acNbHgjsTRoJxni,Omni,1,Production,40225271164,0,0,
17hvZSX8rxn4oqWHvsWNd6BNq8jTftTvMj,Omni,1,Production,1436649636,0,0,
17kLc6ZYAbVPpZkCrvdUE3K4NBLSKGxtPb,Omni,1,Production,25062153399,0,0,
17nnHLr8gKn6quWJo2orbkxgPj8Y9vcMZj,Omni,1,Production,41189316096,0,0,
17tJw9CG4ufjA1yXd4TFR1wqdgMUFzi5n1,Omni,1,Production,13855634921,0,0,
17uK6u4nTbWv3h6WNKg7ejxmgXvy4qebBY,Omni,1,Production,643798,0,0,
17xU8miooPMkdK9ZWuQr9NESpr38tHryjG,Omni,1,Production,2013225295,0,0,
181mY7b9oWKsyf5Q1K4TaJA3JhNoxSrt1S,Omni,1,Production,1504531195,0,0,
18D38HyzBmzArrcHz1jBTVvatvxTnBKRCp,Omni,1,Production,10031914683,0,0,
18JLWH8smwG59zab7j4DqDLZULfK1iEUoH,Omni,1,Production,6013069444,0,0,
18Se5aMNvhYTJoVT4bARcJVVT51mHBwjbJ,Omni,1,Production,32287207341,0,0,
18YwerNLcJhn1ZC55yoiYHevuuobmW3Pww,Omni,1,Production,10741519511,0,0,
18cSnNojZK11mLRk9ND3iosxrvZ9VBXtBh,Omni,1,Production,10000000000,0,0,
18hTHcNvBrGduvG4hG55C6nzRWX5F43qam,Omni,1,Production,3005833333,0,0,
18iT8DhkKDEMya2bDN1HRKEv6tWSQEgSbi,Omni,1,Production,12259252821,0,0,
18mPaJtGX2ots48KdQr4FZLhDSbgyzfnP9,Omni,1,Production,51683887236,0,0,
18rw5npF8gTGMNwk3hZNq3sqTT74Mm8zoh,Omni,1,Production,10220762978,0,0,
18toyySRFSWc56EF6tRXMKQK5UCPgGz39T,Omni,1,Production,997785112,0,0,
194iAz9vJw6tXbxpVZ22YWaYyWDL1QCBDz,Omni,1,Production,643798,0,0,
19AJ7rVbFeeyeoWjjWm5xrGaoTwPH5bLpY,Omni,1,Production,4365305556,0,0,
19rKrjPfydDQtHfWHcFcnfXjhGzQjkAC6B,Omni,1,Production,5068087798,0,0,
19x2pAiyH5SM3ubJyrKaEgfxVgRB9131wS,Omni,1,Production,10380095055,0,0,
1AAciKr6aNMwcYrApgAp336e8EjBwrYPWj,Omni,1,Production,132038340067,0,0,
1ALeLAXtnZrbJHNhWLW5BvNtL1uP5TqJU8,Omni,1,Production,5098438327,0,0,
1Ao6nURcqduZzsHHPJyKa7kyzTASVPP66L,Omni,1,Production,10045160384,0,0,
1AoYNhBr3F1yTumvtWB2bfsJ6gYZJXdDd9,Omni,1,Production,10091784061,0,0,
1B6cMHmdRnGgsAGzyBv4JeBjoxXgcrigk5,Omni,1,Production,5649682540,0,0,
